model,target,percent_flagged,recall
rule_recent_fall,fall_next_30d,1,0.0534979423868312
rule_recent_fall,fall_next_30d,2,0.1018518518518518
rule_recent_fall,fall_next_30d,3,0.1512345679012345
rule_recent_fall,fall_next_30d,4,0.191358024691358
rule_recent_fall,fall_next_30d,5,0.2314814814814814
rule_recent_fall,fall_next_30d,6,0.2674897119341564
rule_recent_fall,fall_next_30d,7,0.3045267489711934
rule_recent_fall,fall_next_30d,8,0.3374485596707819
rule_recent_fall,fall_next_30d,9,0.3631687242798354
rule_recent_fall,fall_next_30d,10,0.3960905349794238
rule_recent_fall,fall_next_30d,11,0.4320987654320987
rule_recent_fall,fall_next_30d,12,0.4639917695473251
rule_recent_fall,fall_next_30d,13,0.4742798353909465
rule_recent_fall,fall_next_30d,14,0.4814814814814814
rule_recent_fall,fall_next_30d,15,0.4958847736625514
rule_recent_fall,fall_next_30d,16,0.5113168724279835
rule_recent_fall,fall_next_30d,17,0.5339506172839507
rule_recent_fall,fall_next_30d,18,0.551440329218107
rule_recent_fall,fall_next_30d,19,0.5699588477366255
rule_recent_fall,fall_next_30d,20,0.5853909465020576
rule_recent_fall,fall_next_30d,21,0.5987654320987654
rule_recent_fall,fall_next_30d,22,0.6121399176954733
rule_recent_fall,fall_next_30d,23,0.6244855967078189
rule_recent_fall,fall_next_30d,24,0.6358024691358025
rule_recent_fall,fall_next_30d,25,0.6502057613168725
rule_recent_fall,fall_next_30d,26,0.6604938271604939
rule_recent_fall,fall_next_30d,27,0.6697530864197531
rule_recent_fall,fall_next_30d,28,0.6697530864197531
rule_recent_fall,fall_next_30d,29,0.6718106995884774
rule_recent_fall,fall_next_30d,30,0.6790123456790124
rule_age,fall_next_30d,1,0.044238683127572
rule_age,fall_next_30d,2,0.0689300411522633
rule_age,fall_next_30d,3,0.0946502057613168
rule_age,fall_next_30d,4,0.1244855967078189
rule_age,fall_next_30d,5,0.1635802469135802
rule_age,fall_next_30d,6,0.1995884773662551
rule_age,fall_next_30d,7,0.2541152263374485
rule_age,fall_next_30d,8,0.2849794238683127
rule_age,fall_next_30d,9,0.3220164609053498
rule_age,fall_next_30d,10,0.3816872427983539
rule_age,fall_next_30d,11,0.4156378600823045
rule_age,fall_next_30d,12,0.4526748971193415
rule_age,fall_next_30d,13,0.4732510288065844
rule_age,fall_next_30d,14,0.4742798353909465
rule_age,fall_next_30d,15,0.4783950617283951
rule_age,fall_next_30d,16,0.4835390946502058
rule_age,fall_next_30d,17,0.4938271604938271
rule_age,fall_next_30d,18,0.4989711934156378
rule_age,fall_next_30d,19,0.507201646090535
rule_age,fall_next_30d,20,0.5133744855967078
rule_age,fall_next_30d,21,0.5195473251028807
rule_age,fall_next_30d,22,0.5277777777777778
rule_age,fall_next_30d,23,0.5360082304526749
rule_age,fall_next_30d,24,0.5442386831275721
rule_age,fall_next_30d,25,0.5524691358024691
rule_age,fall_next_30d,26,0.565843621399177
rule_age,fall_next_30d,27,0.5699588477366255
rule_age,fall_next_30d,28,0.5751028806584362
rule_age,fall_next_30d,29,0.5781893004115226
rule_age,fall_next_30d,30,0.5925925925925926
decision_tree,fall_next_30d,1,0.0586419753086419
decision_tree,fall_next_30d,2,0.1183127572016461
decision_tree,fall_next_30d,3,0.1944444444444444
decision_tree,fall_next_30d,4,0.2263374485596707
decision_tree,fall_next_30d,5,0.2469135802469135
decision_tree,fall_next_30d,6,0.2757201646090535
decision_tree,fall_next_30d,7,0.3220164609053498
decision_tree,fall_next_30d,8,0.3518518518518518
decision_tree,fall_next_30d,9,0.3734567901234568
decision_tree,fall_next_30d,10,0.3909465020576131
decision_tree,fall_next_30d,11,0.4310699588477366
decision_tree,fall_next_30d,12,0.4537037037037037
decision_tree,fall_next_30d,13,0.4742798353909465
decision_tree,fall_next_30d,14,0.4948559670781893
decision_tree,fall_next_30d,15,0.5123456790123457
decision_tree,fall_next_30d,16,0.5185185185185185
decision_tree,fall_next_30d,17,0.5288065843621399
decision_tree,fall_next_30d,18,0.5349794238683128
decision_tree,fall_next_30d,19,0.5442386831275721
decision_tree,fall_next_30d,20,0.565843621399177
decision_tree,fall_next_30d,21,0.5792181069958847
decision_tree,fall_next_30d,22,0.5977366255144033
decision_tree,fall_next_30d,23,0.6080246913580247
decision_tree,fall_next_30d,24,0.6080246913580247
decision_tree,fall_next_30d,25,0.6100823045267489
decision_tree,fall_next_30d,26,0.6131687242798354
decision_tree,fall_next_30d,27,0.6131687242798354
decision_tree,fall_next_30d,28,0.6296296296296297
decision_tree,fall_next_30d,29,0.6378600823045267
decision_tree,fall_next_30d,30,0.6378600823045267
lightgbm,fall_next_30d,1,0.0596707818930041
lightgbm,fall_next_30d,2,0.1316872427983539
lightgbm,fall_next_30d,3,0.184156378600823
lightgbm,fall_next_30d,4,0.2314814814814814
lightgbm,fall_next_30d,5,0.2705761316872428
lightgbm,fall_next_30d,6,0.3024691358024691
lightgbm,fall_next_30d,7,0.3446502057613169
lightgbm,fall_next_30d,8,0.3703703703703703
lightgbm,fall_next_30d,9,0.3940329218106996
lightgbm,fall_next_30d,10,0.4187242798353909
lightgbm,fall_next_30d,11,0.441358024691358
lightgbm,fall_next_30d,12,0.4639917695473251
lightgbm,fall_next_30d,13,0.4835390946502058
lightgbm,fall_next_30d,14,0.5
lightgbm,fall_next_30d,15,0.5174897119341564
lightgbm,fall_next_30d,16,0.5308641975308642
lightgbm,fall_next_30d,17,0.5524691358024691
lightgbm,fall_next_30d,18,0.5627572016460906
lightgbm,fall_next_30d,19,0.5699588477366255
lightgbm,fall_next_30d,20,0.581275720164609
lightgbm,fall_next_30d,21,0.5915637860082305
lightgbm,fall_next_30d,22,0.6080246913580247
lightgbm,fall_next_30d,23,0.6203703703703703
lightgbm,fall_next_30d,24,0.6316872427983539
lightgbm,fall_next_30d,25,0.6450617283950617
lightgbm,fall_next_30d,26,0.6594650205761317
lightgbm,fall_next_30d,27,0.6707818930041153
lightgbm,fall_next_30d,28,0.676954732510288
lightgbm,fall_next_30d,29,0.691358024691358
lightgbm,fall_next_30d,30,0.7006172839506173
rule_recent_admission,rth_next_30d,1,0.0434782608695652
rule_recent_admission,rth_next_30d,2,0.0840579710144927
rule_recent_admission,rth_next_30d,3,0.1159420289855072
rule_recent_admission,rth_next_30d,4,0.144927536231884
rule_recent_admission,rth_next_30d,5,0.1913043478260869
rule_recent_admission,rth_next_30d,6,0.2347826086956521
rule_recent_admission,rth_next_30d,7,0.2753623188405797
rule_recent_admission,rth_next_30d,8,0.3072463768115942
rule_recent_admission,rth_next_30d,9,0.3420289855072463
rule_recent_admission,rth_next_30d,10,0.3710144927536232
rule_recent_admission,rth_next_30d,11,0.4
rule_recent_admission,rth_next_30d,12,0.417391304347826
rule_recent_admission,rth_next_30d,13,0.4521739130434782
rule_recent_admission,rth_next_30d,14,0.4811594202898551
rule_recent_admission,rth_next_30d,15,0.5014492753623189
rule_recent_admission,rth_next_30d,16,0.5246376811594203
rule_recent_admission,rth_next_30d,17,0.5391304347826087
rule_recent_admission,rth_next_30d,18,0.5594202898550724
rule_recent_admission,rth_next_30d,19,0.5797101449275363
rule_recent_admission,rth_next_30d,20,0.5884057971014492
rule_recent_admission,rth_next_30d,21,0.6028985507246377
rule_recent_admission,rth_next_30d,22,0.6231884057971014
rule_recent_admission,rth_next_30d,23,0.6405797101449275
rule_recent_admission,rth_next_30d,24,0.6463768115942029
rule_recent_admission,rth_next_30d,25,0.6492753623188405
rule_recent_admission,rth_next_30d,26,0.6608695652173913
rule_recent_admission,rth_next_30d,27,0.672463768115942
rule_recent_admission,rth_next_30d,28,0.6811594202898551
rule_recent_admission,rth_next_30d,29,0.6869565217391305
rule_recent_admission,rth_next_30d,30,0.6869565217391305
rule_age,rth_next_30d,1,0.0144927536231884
rule_age,rth_next_30d,2,0.0318840579710144
rule_age,rth_next_30d,3,0.0579710144927536
rule_age,rth_next_30d,4,0.0666666666666666
rule_age,rth_next_30d,5,0.1101449275362318
rule_age,rth_next_30d,6,0.1159420289855072
rule_age,rth_next_30d,7,0.144927536231884
rule_age,rth_next_30d,8,0.2434782608695652
rule_age,rth_next_30d,9,0.3043478260869565
rule_age,rth_next_30d,10,0.3188405797101449
rule_age,rth_next_30d,11,0.4057971014492754
rule_age,rth_next_30d,12,0.4057971014492754
rule_age,rth_next_30d,13,0.4057971014492754
rule_age,rth_next_30d,14,0.4057971014492754
rule_age,rth_next_30d,15,0.4057971014492754
rule_age,rth_next_30d,16,0.4376811594202898
rule_age,rth_next_30d,17,0.4376811594202898
rule_age,rth_next_30d,18,0.4492753623188406
rule_age,rth_next_30d,19,0.4521739130434782
rule_age,rth_next_30d,20,0.4521739130434782
rule_age,rth_next_30d,21,0.4579710144927536
rule_age,rth_next_30d,22,0.4579710144927536
rule_age,rth_next_30d,23,0.4579710144927536
rule_age,rth_next_30d,24,0.4579710144927536
rule_age,rth_next_30d,25,0.4695652173913043
rule_age,rth_next_30d,26,0.4695652173913043
rule_age,rth_next_30d,27,0.4695652173913043
rule_age,rth_next_30d,28,0.4695652173913043
rule_age,rth_next_30d,29,0.472463768115942
rule_age,rth_next_30d,30,0.472463768115942
decision_tree,rth_next_30d,1,0.1304347826086956
decision_tree,rth_next_30d,2,0.1971014492753623
decision_tree,rth_next_30d,3,0.2144927536231884
decision_tree,rth_next_30d,4,0.2579710144927536
decision_tree,rth_next_30d,5,0.272463768115942
decision_tree,rth_next_30d,6,0.3159420289855073
decision_tree,rth_next_30d,7,0.3623188405797101
decision_tree,rth_next_30d,8,0.3971014492753623
decision_tree,rth_next_30d,9,0.4115942028985507
decision_tree,rth_next_30d,10,0.4608695652173913
decision_tree,rth_next_30d,11,0.472463768115942
decision_tree,rth_next_30d,12,0.4956521739130435
decision_tree,rth_next_30d,13,0.5217391304347826
decision_tree,rth_next_30d,14,0.5391304347826087
decision_tree,rth_next_30d,15,0.5507246376811594
decision_tree,rth_next_30d,16,0.5652173913043478
decision_tree,rth_next_30d,17,0.5681159420289855
decision_tree,rth_next_30d,18,0.5681159420289855
decision_tree,rth_next_30d,19,0.5681159420289855
decision_tree,rth_next_30d,20,0.5797101449275363
decision_tree,rth_next_30d,21,0.5797101449275363
decision_tree,rth_next_30d,22,0.6057971014492753
decision_tree,rth_next_30d,23,0.6115942028985507
decision_tree,rth_next_30d,24,0.6260869565217392
decision_tree,rth_next_30d,25,0.6376811594202898
decision_tree,rth_next_30d,26,0.6376811594202898
decision_tree,rth_next_30d,27,0.6695652173913044
decision_tree,rth_next_30d,28,0.6869565217391305
decision_tree,rth_next_30d,29,0.6927536231884058
decision_tree,rth_next_30d,30,0.7072463768115942
lightgbm,rth_next_30d,1,0.15072463768115943
lightgbm,rth_next_30d,2,0.20579710144927535
lightgbm,rth_next_30d,3,0.23478260869565218
lightgbm,rth_next_30d,4,0.2782608695652174
lightgbm,rth_next_30d,5,0.2985507246376812
lightgbm,rth_next_30d,6,0.3391304347826087
lightgbm,rth_next_30d,7,0.36231884057971014
lightgbm,rth_next_30d,8,0.3855072463768116
lightgbm,rth_next_30d,9,0.3884057971014493
lightgbm,rth_next_30d,10,0.4
lightgbm,rth_next_30d,11,0.42028985507246375
lightgbm,rth_next_30d,12,0.43768115942028984
lightgbm,rth_next_30d,13,0.4579710144927536
lightgbm,rth_next_30d,14,0.48985507246376814
lightgbm,rth_next_30d,15,0.5014492753623189
lightgbm,rth_next_30d,16,0.518840579710145
lightgbm,rth_next_30d,17,0.5391304347826087
lightgbm,rth_next_30d,18,0.5652173913043478
lightgbm,rth_next_30d,19,0.5826086956521739
lightgbm,rth_next_30d,20,0.5942028985507246
lightgbm,rth_next_30d,21,0.6115942028985507
lightgbm,rth_next_30d,22,0.6376811594202898
lightgbm,rth_next_30d,23,0.6463768115942029
lightgbm,rth_next_30d,24,0.6695652173913044
lightgbm,rth_next_30d,25,0.6811594202898551
lightgbm,rth_next_30d,26,0.6840579710144927
lightgbm,rth_next_30d,27,0.6927536231884058
lightgbm,rth_next_30d,28,0.6985507246376812
lightgbm,rth_next_30d,29,0.7130434782608696
