model,target,percent_flagged,recall
decision_tree,fall_next_30d,1,0.06378600823045268
decision_tree,fall_next_30d,2,0.12139917695473251
decision_tree,fall_next_30d,3,0.18621399176954734
decision_tree,fall_next_30d,4,0.23868312757201646
decision_tree,fall_next_30d,5,0.2911522633744856
decision_tree,fall_next_30d,6,0.31790123456790126
decision_tree,fall_next_30d,7,0.33641975308641975
decision_tree,fall_next_30d,8,0.35802469135802467
decision_tree,fall_next_30d,9,0.3868312757201646
decision_tree,fall_next_30d,10,0.41872427983539096
decision_tree,fall_next_30d,11,0.43724279835390945
decision_tree,fall_next_30d,12,0.45781893004115226
decision_tree,fall_next_30d,13,0.4845679012345679
decision_tree,fall_next_30d,14,0.507201646090535
decision_tree,fall_next_30d,15,0.51440329218107
decision_tree,fall_next_30d,16,0.5174897119341564
decision_tree,fall_next_30d,17,0.5360082304526749
decision_tree,fall_next_30d,18,0.5504115226337448
decision_tree,fall_next_30d,19,0.5627572016460906
decision_tree,fall_next_30d,20,0.5740740740740741
decision_tree,fall_next_30d,21,0.5853909465020576
decision_tree,fall_next_30d,22,0.6018518518518519
decision_tree,fall_next_30d,23,0.6121399176954733
decision_tree,fall_next_30d,24,0.6244855967078189
decision_tree,fall_next_30d,25,0.6460905349794238
decision_tree,fall_next_30d,26,0.6625514403292181
decision_tree,fall_next_30d,27,0.668724279835391
decision_tree,fall_next_30d,28,0.6718106995884774
decision_tree,fall_next_30d,29,0.684156378600823
decision_tree,fall_next_30d,30,0.6995884773662552
decision_tree,rth_next_30d,1,0.14202898550724638
decision_tree,rth_next_30d,2,0.16521739130434782
decision_tree,rth_next_30d,3,0.18840579710144928
decision_tree,rth_next_30d,4,0.2
decision_tree,rth_next_30d,5,0.2608695652173913
decision_tree,rth_next_30d,6,0.3130434782608696
decision_tree,rth_next_30d,7,0.3710144927536232
decision_tree,rth_next_30d,8,0.3884057971014493
decision_tree,rth_next_30d,9,0.42028985507246375
decision_tree,rth_next_30d,10,0.4608695652173913
decision_tree,rth_next_30d,11,0.4811594202898551
decision_tree,rth_next_30d,12,0.5072463768115942
decision_tree,rth_next_30d,13,0.5391304347826087
decision_tree,rth_next_30d,14,0.5449275362318841
decision_tree,rth_next_30d,15,0.5478260869565217
decision_tree,rth_next_30d,16,0.5623188405797102
decision_tree,rth_next_30d,17,0.5826086956521739
decision_tree,rth_next_30d,18,0.5855072463768116
decision_tree,rth_next_30d,19,0.591304347826087
decision_tree,rth_next_30d,20,0.6086956521739131
decision_tree,rth_next_30d,21,0.6202898550724638
decision_tree,rth_next_30d,22,0.6405797101449275
decision_tree,rth_next_30d,23,0.6405797101449275
decision_tree,rth_next_30d,24,0.6405797101449275
decision_tree,rth_next_30d,25,0.6434782608695652
decision_tree,rth_next_30d,26,0.6434782608695652
decision_tree,rth_next_30d,27,0.6492753623188405
decision_tree,rth_next_30d,28,0.6666666666666666
decision_tree,rth_next_30d,29,0.6666666666666666
decision_tree,rth_next_30d,30,0.6695652173913044
