model,target,feature,importance
decision_tree,fall_next_30d,fall_frequency_180d,0.020177219863393013
decision_tree,fall_next_30d,incidents_count_180d,0.0011568518860377685
decision_tree,fall_next_30d,vitals_count_90d,0.0010276290689803513
decision_tree,fall_next_30d,vitals_weight_mean_90d,6.76881422681741e-05
decision_tree,fall_next_30d,vitals_temperature_min_90d,0.0
decision_tree,fall_next_30d,facility_fall_rate_90d,0.0
decision_tree,fall_next_30d,physician_orders_count_90d,0.0
decision_tree,fall_next_30d,vitals_o2_sats_last,0.0
decision_tree,fall_next_30d,physician_orders_count_180d,0.0
decision_tree,fall_next_30d,facility_fall_90d,0.0
decision_tree,fall_next_30d,vitals_o2_sats_max_90d,0.0
decision_tree,fall_next_30d,vitals_bp_systolic_min_90d,0.0
decision_tree,fall_next_30d,vitals_o2_sats_min_90d,0.0
decision_tree,fall_next_30d,vitals_count_180d,0.0
decision_tree,fall_next_30d,vitals_respiration_last,0.0
decision_tree,fall_next_30d,vitals_respiration_min_90d,0.0
decision_tree,fall_next_30d,care_plans_days_since_last,0.0
decision_tree,fall_next_30d,vitals_bp_systolic_last,0.0
decision_tree,fall_next_30d,vitals_temperature_last,0.0
decision_tree,fall_next_30d,vitals_pulse_min_90d,0.0
decision_tree,fall_next_30d,vitals_pulse_last,0.0
decision_tree,fall_next_30d,vitals_count_30d,0.0
decision_tree,fall_next_30d,vitals_respiration_mean_90d,0.0
decision_tree,fall_next_30d,vitals_bp_systolic_max_90d,0.0
decision_tree,fall_next_30d,vitals_temperature_max_90d,0.0
decision_tree,fall_next_30d,vitals_weight_max_90d,0.0
decision_tree,fall_next_30d,vitals_weight_last,0.0
decision_tree,fall_next_30d,incidents_count_90d,0.0
decision_tree,fall_next_30d,days_since_last_fall,0.0
decision_tree,fall_next_30d,vitals_weight_min_30d,0.0
decision_tree,fall_next_30d,vitals_temperature_std_90d,0.0
decision_tree,fall_next_30d,vitals_weight_mean_30d,0.0
decision_tree,fall_next_30d,vitals_weight_max_30d,0.0
decision_tree,fall_next_30d,incidents_days_since_last,0.0
decision_tree,fall_next_30d,vitals_temperature_mean_90d,0.0
decision_tree,fall_next_30d,incidents_count_30d,0.0
decision_tree,fall_next_30d,vitals_pulse_std_90d,0.0
decision_tree,fall_next_30d,vitals_bp_systolic_std_90d,0.0
decision_tree,fall_next_30d,vitals_o2_sats_std_90d,0.0
decision_tree,fall_next_30d,vitals_pulse_mean_90d,0.0
decision_tree,fall_next_30d,vitals_bp_systolic_mean_90d,0.0
decision_tree,fall_next_30d,care_plans_count_total,0.0
decision_tree,fall_next_30d,vitals_o2_sats_mean_90d,0.0
decision_tree,fall_next_30d,vitals_temperature_max_30d,0.0
decision_tree,fall_next_30d,vitals_weight_min_90d,-0.0006215002153713844
decision_tree,rth_next_30d,hospital_transfers_days_since_last,0.009445572580148932
decision_tree,rth_next_30d,hospital_admissions_days_since_last,0.0037413082271860352
decision_tree,rth_next_30d,vitals_weight_max_90d,0.0
decision_tree,rth_next_30d,vitals_bp_systolic_max_90d,0.0
decision_tree,rth_next_30d,vitals_o2_sats_min_90d,0.0
decision_tree,rth_next_30d,vitals_temperature_max_90d,0.0
decision_tree,rth_next_30d,vitals_bp_systolic_std_90d,0.0
decision_tree,rth_next_30d,vitals_respiration_mean_90d,0.0
decision_tree,rth_next_30d,vitals_o2_sats_min_30d,0.0
decision_tree,rth_next_30d,hospital_transfers_count_30d,0.0
decision_tree,rth_next_30d,vitals_o2_sats_last,0.0
decision_tree,rth_next_30d,vitals_count_30d,0.0
decision_tree,rth_next_30d,vitals_respiration_last,0.0
decision_tree,rth_next_30d,facility_rth_rate_90d,0.0
decision_tree,rth_next_30d,vitals_o2_sats_mean_90d,0.0
decision_tree,rth_next_30d,hospital_admissions_count_180d,0.0
decision_tree,rth_next_30d,vitals_respiration_max_30d,0.0
decision_tree,rth_next_30d,physician_orders_count_30d,0.0
decision_tree,rth_next_30d,vitals_pain_level_std_90d,0.0
decision_tree,rth_next_30d,vitals_count_180d,0.0
decision_tree,rth_next_30d,vitals_count_90d,0.0
decision_tree,rth_next_30d,vitals_bp_systolic_min_90d,0.0
decision_tree,rth_next_30d,vitals_temperature_min_90d,0.0
decision_tree,rth_next_30d,physician_orders_count_90d,0.0
decision_tree,rth_next_30d,vitals_weight_min_90d,0.0
decision_tree,rth_next_30d,diagnosis_high_risk_flag,0.0
decision_tree,rth_next_30d,vitals_weight_mean_90d,0.0
decision_tree,rth_next_30d,last_weight,0.0
decision_tree,rth_next_30d,vitals_weight_max_30d,0.0
decision_tree,rth_next_30d,vitals_weight_min_30d,0.0
decision_tree,rth_next_30d,vitals_weight_mean_30d,0.0
decision_tree,rth_next_30d,vitals_temperature_std_90d,0.0
decision_tree,rth_next_30d,care_plans_count_total,0.0
decision_tree,rth_next_30d,vitals_temperature_mean_90d,0.0
decision_tree,rth_next_30d,vitals_o2_sats_std_90d,0.0
decision_tree,rth_next_30d,hospital_transfers_count_90d,0.0
decision_tree,rth_next_30d,physician_orders_count_180d,0.0
decision_tree,rth_next_30d,vitals_blood_sugar_max_90d,0.0
decision_tree,rth_next_30d,los_366_plus,0.0
decision_tree,rth_next_30d,vitals_bp_systolic_mean_90d,0.0
decision_tree,rth_next_30d,hospital_transfers_count_180d,0.0
decision_tree,rth_next_30d,age,0.0
decision_tree,rth_next_30d,vitals_pulse_mean_90d,0.0
decision_tree,rth_next_30d,vitals_pulse_max_90d,0.0
decision_tree,rth_next_30d,vitals_pulse_min_90d,0.0
