model,target,feature,importance
lightgbm,fall_next_30d,days_since_last_fall,211508.59511566162
lightgbm,fall_next_30d,care_plans_count_total,201458.31880187988
lightgbm,fall_next_30d,incidents_days_since_last,115468.00833320618
lightgbm,fall_next_30d,vitals_temperature_std_90d,106981.41869926453
lightgbm,fall_next_30d,incidents_count_180d,90233.57987213135
lightgbm,fall_next_30d,vitals_count_90d,83194.33239746094
lightgbm,fall_next_30d,vitals_count_180d,81467.71137428284
lightgbm,fall_next_30d,care_plans_days_since_last,66876.36261558533
lightgbm,fall_next_30d,physician_orders_days_since_last,66667.36949157715
lightgbm,fall_next_30d,vitals_temperature_mean_90d,33281.36479759216
lightgbm,fall_next_30d,fall_frequency_180d,31033.94513320923
lightgbm,fall_next_30d,vitals_weight_mean_90d,30941.17593574524
lightgbm,fall_next_30d,vitals_count_30d,30746.501693725586
lightgbm,fall_next_30d,physician_orders_count_180d,30435.968963623047
lightgbm,fall_next_30d,vitals_o2_sats_mean_90d,29833.542106628418
lightgbm,fall_next_30d,vitals_respiration_std_90d,29819.094079971313
lightgbm,fall_next_30d,facility_rth_rate_90d,29507.141942977905
lightgbm,fall_next_30d,vitals_weight_last,29483.96445465088
lightgbm,fall_next_30d,vitals_bp_systolic_min_90d,29157.81958770752
lightgbm,fall_next_30d,vitals_weight_min_90d,27366.007682800293
lightgbm,fall_next_30d,vitals_respiration_mean_90d,25884.97029876709
lightgbm,fall_next_30d,vitals_bp_systolic_mean_90d,25620.829042434692
lightgbm,fall_next_30d,vitals_weight_max_90d,24731.285623550415
lightgbm,fall_next_30d,incidents_count_90d,23724.949436187744
lightgbm,fall_next_30d,facility_fall_rate_90d,23253.69494819641
lightgbm,fall_next_30d,vitals_weight_max_30d,23192.66750907898
lightgbm,fall_next_30d,diagnoses_days_since_last,23009.685262680054
lightgbm,fall_next_30d,vitals_bp_systolic_max_90d,22809.93504333496
lightgbm,fall_next_30d,hospital_admissions_days_since_last,22378.31164741516
lightgbm,fall_next_30d,vitals_weight_min_30d,22342.428915023804
lightgbm,fall_next_30d,vitals_weight_std_90d,22107.602201461792
lightgbm,fall_next_30d,facility_fall_90d,22072.886960983276
lightgbm,fall_next_30d,vitals_bp_systolic_std_90d,21634.802186965942
lightgbm,fall_next_30d,vitals_pulse_std_90d,20968.78546524048
lightgbm,fall_next_30d,vitals_o2_sats_std_90d,20860.186630249023
lightgbm,fall_next_30d,diagnoses_count_90d,20742.34288597107
lightgbm,fall_next_30d,vitals_pulse_mean_90d,19829.91682624817
lightgbm,fall_next_30d,physician_orders_count_90d,19777.743127822876
lightgbm,fall_next_30d,vitals_pain_level_std_90d,19525.792222976685
lightgbm,fall_next_30d,vitals_pain_level_mean_90d,19133.720497131348
lightgbm,fall_next_30d,physician_orders_count_30d,18852.05233001709
lightgbm,fall_next_30d,last_weight,18351.53222846985
lightgbm,fall_next_30d,vitals_pulse_min_90d,17749.15486907959
lightgbm,fall_next_30d,vitals_temperature_min_90d,17292.151109695435
lightgbm,fall_next_30d,vitals_pulse_min_30d,17230.27485847473
lightgbm,fall_next_30d,vitals_pulse_mean_30d,17084.849906921387
lightgbm,fall_next_30d,vitals_blood_sugar_max_90d,17015.39818572998
lightgbm,fall_next_30d,vitals_bp_systolic_min_30d,16088.75298500061
lightgbm,fall_next_30d,vitals_temperature_mean_30d,15682.572799682617
lightgbm,fall_next_30d,vitals_temperature_max_90d,15161.135375976562
