model,target,feature,importance
lightgbm,rth_next_30d,diagnoses_days_since_last,115945.50441048457
lightgbm,rth_next_30d,physician_orders_days_since_last,100521.26836517826
lightgbm,rth_next_30d,hospital_transfers_days_since_last,62189.9798171781
lightgbm,rth_next_30d,facility_rth_rate_90d,54266.65590077266
lightgbm,rth_next_30d,days_since_admission,42120.37675849348
lightgbm,rth_next_30d,age,41889.125899389386
lightgbm,rth_next_30d,vitals_weight_std_90d,36591.08620128711
lightgbm,rth_next_30d,vitals_o2_sats_last,35931.45709049702
lightgbm,rth_next_30d,vitals_pain_level_mean_90d,35723.38781347871
lightgbm,rth_next_30d,vitals_respiration_std_90d,35281.376166030765
lightgbm,rth_next_30d,vitals_count_180d,32869.880540359765
lightgbm,rth_next_30d,vitals_weight_max_90d,27329.941058744676
lightgbm,rth_next_30d,care_plans_days_since_last,26407.172923608683
lightgbm,rth_next_30d,vitals_weight_min_90d,25590.617932025343
lightgbm,rth_next_30d,vitals_respiration_mean_90d,24905.01402811706
lightgbm,rth_next_30d,vitals_respiration_mean_30d,23746.292086541653
lightgbm,rth_next_30d,vitals_temperature_mean_90d,23508.352702975273
lightgbm,rth_next_30d,hospital_admissions_days_since_last,23241.20919738058
lightgbm,rth_next_30d,vitals_weight_mean_90d,22618.41784208268
lightgbm,rth_next_30d,vitals_weight_last,21531.988308891654
lightgbm,rth_next_30d,vitals_pulse_std_90d,18668.23643962294
lightgbm,rth_next_30d,facility_rth_90d,18035.351916920394
lightgbm,rth_next_30d,vitals_pain_level_std_90d,17806.397649511695
lightgbm,rth_next_30d,vitals_o2_sats_mean_90d,17703.196325128898
lightgbm,rth_next_30d,vitals_pulse_std_30d,17475.54378017783
lightgbm,rth_next_30d,vitals_o2_sats_std_90d,17387.96729053557
lightgbm,rth_next_30d,vitals_bp_systolic_mean_90d,16917.533303569304
lightgbm,rth_next_30d,vitals_pain_level_mean_30d,16904.57417523116
lightgbm,rth_next_30d,vitals_count_90d,16153.143071368337
lightgbm,rth_next_30d,vitals_pain_level_std_30d,15724.455130741
lightgbm,rth_next_30d,diagnoses_count_180d,15722.5715855062
lightgbm,rth_next_30d,vitals_bp_systolic_min_90d,14979.36720572412
lightgbm,rth_next_30d,vitals_bp_systolic_min_30d,14483.633770713583
lightgbm,rth_next_30d,vitals_temperature_mean_30d,13838.705004626885
lightgbm,rth_next_30d,vitals_pulse_mean_90d,13780.883696861565
lightgbm,rth_next_30d,vitals_count_30d,13531.897193953395
lightgbm,rth_next_30d,vitals_weight_max_30d,13412.497159346938
lightgbm,rth_next_30d,vitals_bp_systolic_mean_30d,13127.458589494228
lightgbm,rth_next_30d,vitals_bp_systolic_std_90d,13122.258941918612
lightgbm,rth_next_30d,physician_orders_count_180d,13105.394871711731
lightgbm,rth_next_30d,vitals_pulse_max_90d,12972.311415415257
lightgbm,rth_next_30d,vitals_weight_std_30d,12428.687208171934
lightgbm,rth_next_30d,vitals_o2_sats_std_30d,11712.151696413755
lightgbm,rth_next_30d,vitals_bp_systolic_last,11695.150342280045
lightgbm,rth_next_30d,vitals_temperature_max_30d,11528.719332277775
lightgbm,rth_next_30d,vitals_bp_systolic_max_90d,10833.744664907455
lightgbm,rth_next_30d,vitals_o2_sats_mean_30d,10775.996243671048
lightgbm,rth_next_30d,vitals_temperature_std_90d,10761.573683946393
lightgbm,rth_next_30d,vitals_pulse_min_90d,10637.25866381824
lightgbm,rth_next_30d,vitals_blood_sugar_max_30d,10527.600241690874
