model,target,percent_flagged,recall
lightgbm,rth_next_30d,1,0.15072463768115943
lightgbm,rth_next_30d,2,0.20579710144927535
lightgbm,rth_next_30d,3,0.23478260869565218
lightgbm,rth_next_30d,4,0.2782608695652174
lightgbm,rth_next_30d,5,0.2985507246376812
lightgbm,rth_next_30d,6,0.3391304347826087
lightgbm,rth_next_30d,7,0.36231884057971014
lightgbm,rth_next_30d,8,0.3855072463768116
lightgbm,rth_next_30d,9,0.3884057971014493
lightgbm,rth_next_30d,10,0.4
lightgbm,rth_next_30d,11,0.42028985507246375
lightgbm,rth_next_30d,12,0.43768115942028984
lightgbm,rth_next_30d,13,0.4579710144927536
lightgbm,rth_next_30d,14,0.48985507246376814
lightgbm,rth_next_30d,15,0.5014492753623189
lightgbm,rth_next_30d,16,0.518840579710145
lightgbm,rth_next_30d,17,0.5391304347826087
lightgbm,rth_next_30d,18,0.5652173913043478
lightgbm,rth_next_30d,19,0.5826086956521739
lightgbm,rth_next_30d,20,0.5942028985507246
lightgbm,rth_next_30d,21,0.6115942028985507
lightgbm,rth_next_30d,22,0.6376811594202898
lightgbm,rth_next_30d,23,0.6463768115942029
lightgbm,rth_next_30d,24,0.6695652173913044
lightgbm,rth_next_30d,25,0.6811594202898551
lightgbm,rth_next_30d,26,0.6840579710144927
lightgbm,rth_next_30d,27,0.6927536231884058
lightgbm,rth_next_30d,28,0.6985507246376812
lightgbm,rth_next_30d,29,0.7130434782608696
lightgbm,rth_next_30d,30,0.7188405797101449
